"","Nm_Prfc","cohort","市长_姓名","市委书记_姓名","市长_出生年份","市委书记_出生年份","市长_出生地","市委书记_出生地","市长_学历","市委书记_学历","市长_性别","市委书记_性别","市长_Age_t","市委书记_Age_t","市长_tenure","市委书记_tenure"
"30","宿迁市",2019,"王昊","张爱军",1965,1964,"安徽省宿州市","江苏省南通市","研究生","研究生","男","男",54,55,1,1
"31","宿迁市",2020,"王昊","张爱军",1965,1964,"安徽省宿州市","江苏省南通市","研究生","研究生","男","男",55,56,2,2
"32","宿迁市",2021,"陈忠伟","王昊",1969,1965,"广东省潮州市","安徽宿州市","研究生","研究生","男","男",52,56,1,1
"33","宿迁市",2022,"陈忠伟","王昊",1969,1965,"广东省潮州市","安徽宿州市","研究生","研究生","男","男",53,57,2,2
"34","常州市",2012,"姚晓东","阎立",1962,1961,"江苏省镇江市","辽宁省本溪市","研究生","研究生","男","男",50,51,1,0
"35","常州市",2013,"姚晓东","阎立",1962,1961,"江苏省镇江市","辽宁省本溪市","研究生","研究生","男","男",51,52,2,1
"36","常州市",2014,"费高云","阎立",1971,1961,"江苏省淮安市","辽宁省本溪市","研究生","研究生","男","男",43,53,1,2
"37","常州市",2015,"费高云","阎立",1971,1961,"江苏省淮安市","辽宁省本溪市","研究生","研究生","男","男",44,54,2,3
"38","常州市",2016,"费高云","阎立",1971,1961,"江苏省淮安市","辽宁省本溪市","研究生","研究生","男","男",45,55,3,4
"39","常州市",2017,"丁纯","费高云",1970,1971,"江苏省无锡市","江苏省淮安市","研究生","研究生","男","男",47,46,0,0
"40","常州市",2018,"丁纯","汪泉",1970,1960,"江苏省无锡市","安徽省黄山市","研究生","研究生","男","男",48,58,1,0
"41","常州市",2019,"丁纯","汪泉",1970,1960,"江苏省无锡市","安徽省黄山市","研究生","研究生","男","男",49,59,2,1
"42","常州市",2020,"陈金虎","齐家滨",1967,1967,"江苏省镇江市","山东省济南市","研究生","研究生","男","男",53,53,1,1
"43","常州市",2021,"陈金虎","齐家滨",1967,1967,"江苏省镇江市","山东省济南市","研究生","研究生","男","男",54,54,2,2
"44","常州市",2022,NA,"陈金虎",NA,1967,NA,"江苏省镇江市",NA,"研究生",NA,"男",NA,55,NA,1
"45","徐州市",2012,"朱民","曹新平",1963,1956,"江苏省苏州市","江苏省徐州市","研究生","研究生","男","男",49,56,0,3
"46","徐州市",2013,"朱民","曹新平",1963,1956,"江苏省苏州市","江苏省徐州市","研究生","研究生","男","男",50,57,1,4
"47","徐州市",2014,"朱民","曹新平",1963,1956,"江苏省苏州市","江苏省徐州市","研究生","研究生","男","男",51,58,2,5
"48","徐州市",2015,"朱民","张国华",1963,1964,"江苏省苏州市","江苏省苏州市","研究生","本科","男","男",52,51,3,-1
"49","徐州市",2016,"周铁根","张国华",1962,1964,"江苏省南通市","江苏省苏州市","本科","本科","男","男",54,52,1,0
"50","徐州市",2017,"周铁根","张国华",1962,1964,"江苏省南通市","江苏省苏州市","本科","本科","男","男",55,53,2,1
"51","徐州市",2018,"庄兆林","周铁根",1969,1962,"江苏省扬州市","江苏省南通市","研究生","本科","男","男",49,56,0,0
"52","徐州市",2019,"庄兆林","周铁根",1969,1962,"江苏省扬州市","江苏省南通市","研究生","本科","男","男",50,57,1,1
"53","徐州市",2020,"庄兆林","周铁根",1969,1962,"江苏省扬州市","江苏省南通市","研究生","本科","男","男",51,58,2,2
"54","徐州市",2021,"庄兆林","周铁根",1969,1962,"江苏省扬州市","江苏省南通市","研究生","本科","男","男",52,59,3,3
"55","徐州市",2022,NA,"宋乐伟",NA,1969,NA,"山东省潍坊市",NA,"研究生",NA,"男",NA,53,NA,1
"56","扬州市",2012,"朱民阳","谢正义",1956,1966,"江苏省宿迁市","江苏省泰州市","研究生","研究生","男","男",56,46,0,0
"57","扬州市",2013,"朱民阳","谢正义",1956,1966,"江苏省宿迁市","江苏省泰州市","研究生","研究生","男","男",57,47,1,1
"58","扬州市",2014,"朱民阳","谢正义",1956,1966,"江苏省宿迁市","江苏省泰州市","研究生","研究生","男","男",58,48,2,2
"59","扬州市",2015,"朱民阳","谢正义",1956,1966,"江苏省宿迁市","江苏省泰州市","研究生","研究生","男","男",59,49,3,3
"60","扬州市",2016,"朱民阳","谢正义",1956,1966,"江苏省宿迁市","江苏省泰州市","研究生","研究生","男","男",60,50,4,4
"61","扬州市",2017,"张爱军","谢正义",1964,1966,"江苏省南通市","江苏省泰州市","研究生","研究生","男","男",53,51,1,5
"62","扬州市",2018,"夏心旻","谢正义",1965,1966,"江苏省盐城市","江苏省泰州市","研究生","研究生","男","男",53,52,0,6
"63","扬州市",2019,"夏心旻","谢正义",1965,1966,"江苏省盐城市","江苏省泰州市","研究生","研究生","男","男",54,53,1,7
"64","扬州市",2020,"张宝娟","夏心旻",1967,1965,"江苏省南京市","江苏省盐城市","研究生","研究生","女","男",53,55,1,1
"65","扬州市",2021,"张宝娟","夏心旻",1967,1965,"江苏省南京市","江苏省盐城市","研究生","研究生","女","男",54,56,2,2
"66","扬州市",2022,NA,"张宝娟",NA,1967,NA,"江苏省南京市",NA,"研究生",NA,"女",NA,55,NA,1
"67","无锡市",2012,"朱克江","黄莉新",1957,1962,"江苏省淮安市","江苏省宿迁市","研究生","研究生","男","女",55,50,1,1
"68","无锡市",2013,"汪泉","黄莉新",1960,1962,"安徽省黄山市","江苏省宿迁市","研究生","研究生","男","女",53,51,0,2
"69","无锡市",2014,"汪泉","黄莉新",1960,1962,"安徽省黄山市","江苏省宿迁市","研究生","研究生","男","女",54,52,1,3
"70","无锡市",2015,"汪泉","李小敏",1960,1959,"安徽省黄山市","山东省烟台市","研究生","研究生","男","男",55,56,2,0
"71","无锡市",2016,"汪泉","李小敏",1960,1959,"安徽省黄山市","山东省烟台市","研究生","研究生","男","男",56,57,3,1
"72","无锡市",2017,"汪泉","李小敏",1960,1959,"安徽省黄山市","山东省烟台市","研究生","研究生","男","男",57,58,4,2
"73","无锡市",2018,"黄钦","李小敏",1962,1959,"江苏省苏州市","山东省烟台市","研究生","研究生","男","男",56,59,0,3
"74","无锡市",2019,"黄钦","黄钦",1962,1962,"江苏省苏州市","江苏省苏州市","研究生","研究生","男","男",57,57,1,0
"75","无锡市",2020,"杜小刚","黄钦",1976,1962,"江苏省常州市","江苏省苏州市","研究生","研究生","男","男",44,58,1,1
"76","无锡市",2021,"杜小刚","黄钦",1976,1962,"江苏省常州市","江苏省苏州市","研究生","研究生","男","男",45,59,2,2
"77","无锡市",2022,NA,"杜小刚",NA,1976,NA,"江苏省常州市",NA,"研究生",NA,"男",NA,46,NA,1
"78","泰州市",2012,"徐郭平","张雷",1962,1961,"江苏省泰州市","江苏省淮安市","研究生","本科","男","男",50,51,2,4
"79","泰州市",2013,"徐郭平","张雷",1962,1961,"江苏省泰州市","江苏省淮安市","研究生","本科","男","男",51,52,3,5
"80","泰州市",2014,"陆志鹏","张雷",1964,1961,"河南省洛阳市","江苏省淮安市","研究生","本科","男","男",50,53,1,6
"81","泰州市",2015,"陆志鹏","蓝绍敏",1964,1964,"河南省洛阳市","广东省梅州市","研究生","研究生","男","男",51,51,2,1
"82","泰州市",2016,"史立军","蓝绍敏",1963,1964,"黑龙江省绥化市","广东省梅州市","研究生","研究生","男","男",53,52,0,2
"83","泰州市",2017,"史立军","曲福田",1963,1962,"黑龙江省绥化市","山东省烟台市","研究生","研究生","男","男",54,55,1,0
"84","泰州市",2018,"史立军","韩立明",1963,1964,"黑龙江省绥化市","江苏省常州市","研究生","研究生","男","女",55,54,2,0
"85","泰州市",2019,"史立军","韩立明",1963,1964,"黑龙江省绥化市","江苏省常州市","研究生","研究生","男","女",56,55,3,1
"86","泰州市",2020,"朱立凡","史立军",1971,1963,"江苏省苏州市","黑龙江省绥化市","研究生","研究生","男","男",49,57,1,1
"87","泰州市",2021,"朱立凡","史立军",1971,1963,"江苏省苏州市","黑龙江省绥化市","研究生","研究生","男","男",50,58,2,2
"88","泰州市",2022,NA,"朱立凡",NA,1971,NA,"江苏省苏州市",NA,"研究生",NA,"男",NA,51,NA,1
"89","淮安市",2012,"曲福田","刘永忠",1962,1956,"山东省烟台市","江苏省镇江市","研究生","研究生","男","男",50,56,0,4
"90","淮安市",2013,"曲福田","姚晓东",1962,1962,"山东省烟台市","江苏省镇江市","研究生","研究生","男","男",51,51,1,0
"91","淮安市",2014,"曲福田","姚晓东",1962,1962,"山东省烟台市","江苏省镇江市","研究生","研究生","男","男",52,52,2,1
"92","淮安市",2015,"曲福田","姚晓东",1962,1962,"山东省烟台市","江苏省镇江市","研究生","研究生","男","男",53,53,3,2
"93","淮安市",2016,"惠建林","姚晓东",1964,1962,"江苏省苏州市","江苏省镇江市","本科","研究生","男","男",52,54,0,3
"94","淮安市",2017,"蔡丽新","姚晓东",1971,1962,"江苏省无锡市","江苏省镇江市","研究生","研究生","女","男",46,55,0,4
"95","淮安市",2018,"蔡丽新","姚晓东",1971,1962,"江苏省无锡市","江苏省镇江市","研究生","研究生","女","男",47,56,1,5
"96","淮安市",2019,"蔡丽新","姚晓东",1971,1962,"江苏省无锡市","江苏省镇江市","研究生","研究生","女","男",48,57,2,6
"97","淮安市",2020,"陈之常","蔡丽新",1974,1971,"四川省达州市","江苏省无锡市","本科","研究生","男","女",46,49,1,1
"98","淮安市",2021,"陈之常","陈之常",1974,1974,"四川省达州市","四川省达州市","本科","本科","男","男",47,47,2,0
"99","淮安市",2022,NA,"陈之常",NA,1974,NA,"四川省达州市",NA,"本科",NA,"男",NA,48,NA,1
"100","盐城市",2012,"魏国强","赵鹏",1964,1955,"江苏省镇江市","江苏省淮安市","研究生","研究生","男","男",48,57,1,6
"101","盐城市",2013,"魏国强","朱克江",1964,1957,"江苏省镇江市","江苏省淮安市","研究生","研究生","男","男",49,56,2,0
"102","盐城市",2014,"魏国强","朱克江",1964,1957,"江苏省镇江市","江苏省淮安市","研究生","研究生","男","男",50,57,3,1
"103","盐城市",2015,"王荣平","朱克江",1960,1957,"江苏省扬州市","江苏省淮安市","研究生","研究生","男","男",55,58,1,2
"104","盐城市",2016,"王荣平","朱克江",1960,1957,"江苏省扬州市","江苏省淮安市","研究生","研究生","男","男",56,59,2,3
"105","盐城市",2017,"戴源","王荣平",1962,1960,"安徽省滁州市","江苏省扬州市","本科","研究生","男","男",55,57,1,1
"106","盐城市",2018,"曹路宝","戴源",1971,1962,"安徽省滁州市","安徽省滁州市","研究生","本科","男","男",47,56,0,0
"107","盐城市",2019,"曹路宝","戴源",1971,1962,"安徽省滁州市","安徽省滁州市","研究生","本科","男","男",48,57,1,1
"108","盐城市",2020,"曹路宝","戴源",1971,1962,"安徽省滁州市","安徽省滁州市","研究生","本科","男","男",49,58,2,2
"109","盐城市",2021,"曹路宝","戴源",1971,1962,"安徽省滁州市","安徽省滁州市","研究生","本科","男","男",50,59,3,3
"110","盐城市",2022,NA,"徐缨",NA,1967,NA,"江苏省常州市",NA,NA,NA,"女",NA,55,NA,0
"111","苏州市",2012,"周乃翔","蒋宏坤",1961,1954,"江苏省无锡市","江苏省苏州市","研究生","研究生","男","男",51,58,0,3
"112","苏州市",2013,"周乃翔","蒋宏坤",1961,1954,"江苏省无锡市","江苏省苏州市","研究生","研究生","男","男",52,59,1,4
"113","苏州市",2014,"周乃翔","蒋宏坤",1961,1954,"江苏省无锡市","江苏省苏州市","研究生","研究生","男","男",53,60,2,5
"114","苏州市",2015,"周乃翔","石泰峰",1961,1956,"江苏省无锡市","山西省晋中市","研究生","研究生","男","男",54,59,3,1
"115","苏州市",2016,"曲福田","周乃翔",1962,1961,"山东省烟台市","江苏省无锡市","研究生","研究生","男","男",54,55,0,0
"116","苏州市",2017,"李亚平","周乃翔",1963,1961,"江苏省镇江市","江苏省无锡市","研究生","研究生","男","男",54,56,0,1
"117","苏州市",2018,"李亚平","周乃翔",1963,1961,"江苏省镇江市","江苏省无锡市","研究生","研究生","男","男",55,57,1,2
"118","苏州市",2019,"李亚平","周乃翔",1963,1961,"江苏省镇江市","江苏省无锡市","研究生","研究生","男","男",56,58,2,3
"119","苏州市",2020,"李亚平","蓝绍敏",1963,1964,"江苏省镇江市","广东省梅州市","研究生","研究生","男","男",57,56,3,1
"120","苏州市",2021,"李亚平","许昆林",1963,1965,"江苏省镇江市","福建泉州市","研究生","本科","男","男",58,56,4,1
"121","苏州市",2022,NA,"曹路宝",NA,1971,NA,"安徽省滁州市",NA,"研究生",NA,"男",NA,51,NA,1
"122","连云港市",2012,"杨省世","李强",1965,1955,"陕西省西安市","江苏省宿迁市","研究生","研究生","男","男",47,57,1,1
"123","连云港市",2013,"赵晓江","李强",1966,1955,"新疆维吾尔自治区乌鲁木齐市","江苏省宿迁市","研究生","研究生","男","男",47,58,0,2
"124","连云港市",2014,"赵晓江","李强",1966,1955,"新疆维吾尔自治区乌鲁木齐市","江苏省宿迁市","研究生","研究生","男","男",48,59,1,3
"125","连云港市",2015,"赵晓江","杨省世",1966,1965,"新疆维吾尔自治区乌鲁木齐市","陕西省西安市","研究生","研究生","男","男",49,50,2,1
"126","连云港市",2016,"项雪龙","杨省世",1963,1965,"江苏省无锡市","陕西省西安市","本科","研究生","男","男",53,51,1,2
"127","连云港市",2017,"项雪龙","杨省世",1963,1965,"江苏省无锡市","陕西省西安市","本科","研究生","男","男",54,52,2,3
"128","连云港市",2018,"方伟","项雪龙",1965,1963,"江苏省苏州市","江苏省无锡市","研究生","本科","男","男",53,55,0,0
"129","连云港市",2019,"方伟","项雪龙",1965,1963,"江苏省苏州市","江苏省无锡市","研究生","本科","男","男",54,56,1,1
"130","连云港市",2020,"方伟","项雪龙",1965,1963,"江苏省苏州市","江苏省无锡市","研究生","本科","男","男",55,57,2,2
"131","连云港市",2021,"方伟","项雪龙",1965,1963,"江苏省苏州市","江苏省无锡市","研究生","本科","男","男",56,58,3,3
"132","连云港市",2022,NA,"方伟",NA,1965,NA,"江苏省苏州市",NA,"研究生",NA,"男",NA,57,NA,1
"133","镇江市",2012,"朱晓明","张敬华",1960,1962,"江苏省镇江市","江苏省泰州市","研究生","本科","女","男",52,50,0,0
"134","镇江市",2013,"朱晓明","杨省世",1960,1965,"江苏省镇江市","陕西省西安市","研究生","研究生","女","男",53,48,1,0
"135","镇江市",2014,"朱晓明","杨省世",1960,1965,"江苏省镇江市","陕西省西安市","研究生","研究生","女","男",54,49,2,1
"136","镇江市",2015,"朱晓明","夏锦文",1960,1964,"江苏省镇江市","江苏省无锡市","研究生","研究生","女","男",55,51,3,0
"137","镇江市",2016,"朱晓明","夏锦文",1960,1964,"江苏省镇江市","江苏省无锡市","研究生","研究生","女","男",56,52,4,1
"138","镇江市",2017,"张叶飞","惠建林",1966,1964,"江苏省无锡市","江苏省苏州市","研究生","本科","男","男",51,53,0,0
"139","镇江市",2018,"张叶飞","惠建林",1966,1964,"江苏省无锡市","江苏省苏州市","研究生","本科","男","男",52,54,1,1
"140","镇江市",2019,"张叶飞","惠建林",1966,1964,"江苏省无锡市","江苏省苏州市","研究生","本科","男","男",53,55,2,2
"141","镇江市",2020,"徐曙海","马明龙",1968,1965,"江苏宿迁市","江苏省苏州市","研究生","研究生","男","男",52,55,0,0
"142","镇江市",2021,"徐曙海","马明龙",1968,1965,"江苏宿迁市","江苏省苏州市","研究生","研究生","男","男",53,56,1,1
"143","镇江市",2022,"徐曙海","马明龙",1968,1965,"江苏宿迁市","江苏省苏州市","研究生","研究生","男","男",54,57,2,2
